id,timestamp,temperature,humidity,sound,anomaly
1,2026-02-19 17:15:29,21.98,45.06,68.15,1
2,2026-02-19 17:15:30,22,45.06,67.63,1
3,2026-02-19 17:15:31,21.95,45.1,67.75,1
4,2026-02-19 17:15:32,21.97,45.14,67.54,1
5,2026-02-19 17:15:33,22,45,67.54,1
6,2026-02-19 17:15:34,22.02,45.23,67.18,1
7,2026-02-19 17:15:35,22.03,45.24,67.31,1
8,2026-02-19 17:15:36,22.08,45.11,66.88,1
9,2026-02-19 17:15:37,22.06,45.04,67.42,1
10,2026-02-19 17:15:38,22.13,45.03,68.01,1
11,2026-02-19 17:15:39,22.09,45.03,68.32,1
12,2026-02-19 17:15:40,22.07,45.09,68.42,1
13,2026-02-19 17:15:41,21.94,44.95,67.87,1
14,2026-02-19 17:15:42,21.89,44.78,68.25,1
15,2026-02-19 17:15:43,21.97,44.8,67.97,1
16,2026-02-19 17:15:44,21.97,44.77,68.41,1
17,2026-02-19 17:15:45,21.98,44.7,68.63,1
18,2026-02-19 17:15:46,21.95,44.66,68.54,1
19,2026-02-19 17:15:47,21.89,44.74,68.48,1
20,2026-02-19 17:15:48,21.89,44.84,68.5,1
21,2026-02-19 17:15:49,21.85,44.72,68.6,1
22,2026-02-19 17:15:50,21.81,44.83,68.66,1
23,2026-02-19 17:15:51,21.76,44.72,68.55,1
24,2026-02-19 17:15:52,21.79,44.66,68.51,1
25,2026-02-19 17:15:53,21.83,44.61,68.63,1
26,2026-02-19 17:15:54,21.79,44.66,68.33,1
27,2026-02-19 17:15:55,21.82,44.63,68.29,1
28,2026-02-19 17:15:56,21.78,44.69,68.27,1
29,2026-02-19 17:15:57,21.78,44.77,68.14,1
30,2026-02-19 17:15:58,21.7,44.92,68.16,1
31,2026-02-19 17:15:59,21.78,44.94,68.21,1
32,2026-02-19 17:16:00,21.78,44.89,68.39,1
33,2026-02-19 17:16:01,21.77,44.99,68.08,1
34,2026-02-19 17:16:02,21.79,44.88,67.6,1
35,2026-02-19 17:16:03,21.9,44.83,67.92,1
36,2026-02-19 17:16:04,21.92,44.71,68.03,1
37,2026-02-19 17:16:05,21.87,44.84,67.93,1
38,2026-02-19 17:16:06,21.92,44.84,67.7,1
39,2026-02-19 17:16:07,21.92,44.78,68.15,1
40,2026-02-19 17:16:08,21.93,44.65,67.71,1
41,2026-02-19 17:16:09,21.99,44.73,68.38,1
42,2026-02-19 17:16:10,21.96,44.67,68.3,1
43,2026-02-19 17:16:11,22,44.62,67.98,1
44,2026-02-19 17:16:12,21.92,44.71,68.01,1
45,2026-02-19 17:16:13,21.91,44.75,68.15,1
46,2026-02-19 17:16:14,21.81,44.67,68.57,1
47,2026-02-19 17:16:15,21.85,44.63,68.47,1
48,2026-02-19 17:16:16,21.83,44.54,68.5,1
49,2026-02-19 17:16:17,21.85,44.44,68.68,1
50,2026-02-19 17:16:18,21.77,44.42,68.62,1
51,2026-02-19 17:16:19,21.77,44.3,68.89,1
52,2026-02-19 17:16:20,21.74,44.42,68.48,1
53,2026-02-19 17:16:21,21.73,44.49,68.1,1
54,2026-02-19 17:16:22,21.77,44.44,68.25,1
55,2026-02-19 17:16:23,21.77,44.35,68.25,1
56,2026-02-19 17:16:24,21.85,44.25,68.33,1
57,2026-02-19 17:16:25,21.85,44.28,68.42,1
58,2026-02-19 17:16:26,21.82,44.54,68.52,1
59,2026-02-19 17:16:27,21.84,44.52,68.71,1
60,2026-02-19 17:16:28,21.88,44.65,68.51,1
61,2026-02-19 17:16:29,21.94,44.47,68.72,1
62,2026-02-19 17:16:30,21.89,44.61,68.69,1
63,2026-02-19 17:16:31,21.91,44.66,68.38,1
64,2026-02-19 17:16:32,21.82,44.67,68.06,1
65,2026-02-19 17:16:33,21.84,44.85,67.76,1
66,2026-02-19 17:16:34,21.95,44.99,67.76,1
67,2026-02-19 17:16:35,21.97,45.04,67.89,1
68,2026-02-19 17:16:36,21.97,45.04,67.74,1
69,2026-02-19 17:16:37,21.93,44.85,67.76,1
70,2026-02-19 17:16:38,21.94,44.64,67.54,1
71,2026-02-19 17:16:39,21.97,44.56,67.28,1
72,2026-02-19 17:16:40,21.91,44.51,67.14,1
73,2026-02-19 17:16:41,21.96,44.58,67.67,1
74,2026-02-19 17:16:42,21.99,44.59,67.92,1
75,2026-02-19 17:16:43,22.01,44.47,67.78,1
76,2026-02-19 17:16:44,22.05,44.59,67.75,1
77,2026-02-19 17:16:45,22,44.64,68.01,1
78,2026-02-19 17:16:46,21.97,44.64,68.38,1
79,2026-02-19 17:16:47,21.95,44.61,68.4,1
80,2026-02-19 17:16:48,21.95,44.71,68.17,1
81,2026-02-19 17:16:49,21.88,44.82,68.04,1
82,2026-02-19 17:16:50,21.79,44.62,67.93,1
83,2026-02-19 17:16:51,21.78,44.48,67.93,1
84,2026-02-19 17:16:52,21.87,44.47,68.61,1
85,2026-02-19 17:16:53,21.88,44.46,68.57,1
86,2026-02-19 17:16:54,21.82,44.52,68.64,1
87,2026-02-19 17:16:55,21.82,44.55,68.21,1
88,2026-02-19 17:16:56,21.91,44.49,68.23,1
89,2026-02-19 17:16:57,21.96,44.66,68.52,1
90,2026-02-19 17:16:58,21.95,44.61,68.91,1
91,2026-02-19 17:16:59,21.94,44.85,69.16,1
92,2026-02-19 17:17:00,21.87,44.91,69.02,1
93,2026-02-19 17:17:01,21.85,44.96,68.81,1
94,2026-02-19 17:17:02,21.92,44.82,68.74,1
95,2026-02-19 17:17:03,22,44.79,68.67,1
96,2026-02-19 17:17:04,22.01,44.76,68.67,1
97,2026-02-19 17:17:05,22.11,44.81,68.68,1
98,2026-02-19 17:17:06,22.16,44.93,67.76,1
99,2026-02-19 17:17:07,22.21,44.91,67.76,1
100,2026-02-19 17:17:08,22.24,45.1,67.94,1
101,2026-02-19 17:17:09,22.19,44.99,68.36,1
102,2026-02-19 17:17:10,22.26,45.12,67.75,1
103,2026-02-19 17:17:11,22.26,45.02,68.02,1
104,2026-02-19 17:17:12,22.26,45.02,68.29,1
105,2026-02-19 17:17:13,22.25,44.98,68.17,1
106,2026-02-19 17:17:14,22.35,44.93,68.35,1
107,2026-02-19 17:17:15,22.36,44.89,68.5,1
108,2026-02-19 17:17:16,22.3,44.86,68.8,1
109,2026-02-19 17:17:17,22.26,45.06,68.83,1
110,2026-02-19 17:17:18,22.16,44.99,68.78,1
111,2026-02-19 17:17:19,22.1,45.03,68.46,1
112,2026-02-19 17:17:20,22.04,45.05,68.17,1
113,2026-02-19 17:17:21,21.98,45.13,68.21,1
114,2026-02-19 17:17:22,21.94,45.03,68.13,1
115,2026-02-19 17:17:23,21.96,44.99,67.57,1
116,2026-02-19 17:17:24,21.93,44.91,67.24,1
117,2026-02-19 17:17:25,21.96,44.86,67.03,1
118,2026-02-19 17:17:26,21.83,44.8,66.84,1
119,2026-02-19 17:17:27,21.82,44.9,66.92,1
120,2026-02-19 17:17:28,21.91,44.91,67.21,1
121,2026-02-19 17:17:29,21.94,44.81,67.84,1
122,2026-02-19 17:17:30,21.97,44.76,68.05,1
123,2026-02-19 17:17:31,21.96,44.91,67.7,1
124,2026-02-19 17:17:32,21.86,44.74,67.72,1
125,2026-02-19 17:17:33,21.83,44.55,67.92,1
126,2026-02-19 17:17:34,21.91,44.64,67.4,1
127,2026-02-19 17:17:35,21.88,44.65,67.92,1
128,2026-02-19 17:17:36,21.78,44.72,67.91,1
129,2026-02-19 17:17:37,21.81,44.81,67.75,1
130,2026-02-19 17:17:38,21.9,44.89,67.88,1
